Leak Dates,Original Leak Dates,Leak Types,Zone,Stations,Spatial Dist. (m),Connecting (mm),Pipeline Distance
2_1_2024_2,2/1/2024,LOC,NYSR,nysr_12,354.5,150,391
2_1_2024_,2/1/2024,LOM,MNSR,fcph_44,492.3,0,1355
2_1_2024_,2/1/2024,LOC,MNSR,mnsr_10,1326.7,35,2638
4_1_2024_,4/1/2024,LOC,MNSR,mnsr_22,473.8,54,738
8_1_2024_,8/1/2024,LOC,NYSR,nysr_40,926.7,54,1399
10_1_2024_,10/1/2024,LOC,MNSR,mnsr_23,468.1,100,1001
12_1_2024_,12/1/2024,LOC,MNSR,mnsr_26,242.2,35,489
12_1_2024_,12/1/2024,LOM,NYSR,nysr_41,377.3,0,617
13_1_2024_,13/1/2024,LOM,MNSR,mnsr_41,903.7,0,1001
15_1_2024_,15/1/2024,LOC,MNSR,mnsr_22,206.2,54,371
15_1_2024_,15/1/2024,LOC,MNSR,mnsr_29,788.1,35,823
16_1_2024_,16/1/2024,LOM,MNSR,mnsr_18,215.0,0,368
17_1_2024_,17/1/2024,LOC,MNSR,mnsr_31,444.0,42,627
17_1_2024_,17/1/2024,LOM,MNSR,mnsr_23,469.6,0,1001
17_1_2024_,17/1/2024,LOO,MNSR,mnsr_22,657.1,0,1001
18_1_2024_,18/1/2024,LOC,MNSR,mnsr_39,490.0,35,749
19_1_2024_,19/1/2024,LOC,NYSR,nysr_30,98.5,150,135
20_1_2024_,20/1/2024,LOC,MNSR,mnsr_10,1439.0,42,3605
28_1_2024_,28/1/2024,LOC,MNSR,mnsr_18,833.7,35,1871
30_1_2024_,30/1/2024,LOO,MNSR,mnsr_29,442.7,0,489
30_1_2024_,30/1/2024,LOC,NYSR,nysr_13,360.3,25,563
1_2_2024_,1/2/2024,LOC,MNSR,mnsr_24,197.6,35,559
2_2_2024_,2/2/2024,LOC,MNSR,mnsr_42,246.2,28,796
5_2_2024_,5/2/2024,LOC,MNSR,mnsr_48,614.2,35,779
6_2_2024_,6/2/2024,LOO,MNSR,mnsr_38,210.8,0,796
6_2_2024_2,6/2/2024,LOO,MNSR,mnsr_38,209.0,0,796
10_2_2024_,10/2/2024,LOM,MNSR,mnsr_30,474.6,0,894
10_2_2024_,10/2/2024,LOM,MNSR,mnsr_46,906.8,0,2323
11_2_2024_,11/2/2024,LOC,MNSR,mnsr_46,810.0,25,3096
12_2_2024_,12/2/2024,LOC,MNSR,mnsr_38,209.0,300,496
13_2_2024_,13/2/2024,LOC,MNSR,mnsr_29,496.3,35,612
14_2_2024_,14/2/2024,LOM,MNSR,mnsr_31,587.4,0,798
14_2_2024_,14/2/2024,LOM,MNSR,mnsr_46,907.3,0,2323
19_2_2024_,19/2/2024,LOC,MNSR,mnsr_45,588.5,35,981
19_2_2024_,19/2/2024,LOC,NYSR,western_15,399.4,100,1589
20_2_2024_,20/2/2024,LOM,MNSR,mnsr_18,323.9,0,794
23_2_2024_,23/2/2024,LOM,MNSR,mnsr_31,595.6,0,1068
24_2_2024_,24/2/2024,LOM,MNSR,mnsr_30,457.5,0,636
29_2_2024_,29/2/2024,LOC,MNSR,mnsr_30,507.2,35,693
4_3_2024_,4/3/2024,LOO,MNSR,mnsr_28,640.2,0,759
4_3_2024_,4/3/2024,LOC,BBSR,bbsr_12,745.4,100,1002
8_3_2024_,8/3/2024,LOO,MNSR,mnsr_13,413.1,0,523
8_3_2024_2,8/3/2024,LOC,MNSR,mnsr_14,590.5,35,962
13_3_2024_2,13/3/2024,LOC,BBSR,bbsr_15,372.5,35,583
13_3_2024_,13/3/2024,LOC,MNSR,mnsr_46,109.9,35,2991
16_3_2024_,16/3/2024,LOC,MNSR,mnsr_45,607.9,35,1069
18_3_2024_2,18/3/2024,LOC,BBSR,western_43,422.5,25,650
18_3_2024_3,18/3/2024,LOC,SSR,fcph_48,215.3,28,1739
18_3_2024_,18/3/2024,LOC,MNSR,mnsr_46,521.8,35,3207
21_3_2024_,21/3/2024,LOC,BBSR,bbsr_12,357.2,28,462
22_3_2024_,22/3/2024,LOC,MNSR,mnsr_29,183.8,35,460
25_3_2024_,25/3/2024,LOO,MNSR,mnsr_39,302.9,0,581
25_3_2024_,25/3/2024,LOC,MNSR,mnsr_11,733.1,42,1562
26_3_2024_2,26/3/2024,LOC,BBSR,bbsr_15,98.0,25,451
26_3_2024_,26/3/2024,LOC,MNSR,mnsr_29,433.7,35,823
1_4_2024_,1/4/2024,LOC,MNSR,mnsr_16,148.0,100,216
